File Name: not saved
Channel 1: 'M18653', 35800 values, raw ADC, no filters.
Channel 2: 'M18647', 35800 values, raw ADC, no filters.
Channel 3: 'M18410', 35801 values, raw ADC, no filters.

7	-5	23
-10	-7	17
-10	-7	18
-11	-8	22
-11	-8	19
-12	-7	13
-12	-8	11
-11	-9	16
-11	-7	17
-10	-6	14
-10	-6	18
-9	-6	13
-9	-6	12
-8	-6	11
-8	-6	9
-9	-7	7
-9	-7	5
-9	-7	0
-10	-7	4
-11	-6	9
-11	-7	3
-10	-7	-4
-10	-7	-2
-11	-8	0
-11	-8	1
-12	-7	3
-12	-8	0
-11	-9	-2
-11	-7	0
-10	-6	1
-10	-6	1
-9	-6	0
-9	-6	-1
-8	-6	-3
-8	-6	-3
-9	-7	-4
-9	-7	-5
-9	-7	-6
-10	-7	-4
-11	-6	-3
-11	-7	-3
-10	-8	-3
-10	-7	-4
-10	-6	-3
-7	-7	-3
-9	-4	-9
-11	-6	-15
-10	-6	-11
-11	-8	-7
-10	-8	-10
-7	-7	-6
-8	-7	-3
-8	-7	-7
-8	-6	-6
-8	-6	-6
-9	-7	-2
-9	-8	-2
-7	-9	-6
-6	-8	-9
-5	-8	-7
-5	-6	-4
-7	-8	-5
-5	-8	-5
-5	-8	-4
-3	-7	-5
-6	-6	-6
-6	-7	-7
-5	-9	-6
-6	-8	-5
-5	-7	-4
-6	-8	-3
-6	-10	-1
-5	-10	-2
-4	-10	-3
-4	-10	-3
-3	-10	-3
-4	-10	-3
-5	-9	-2
-5	-8	-2
-4	-7	-6
-4	-7	-3
-7	-7	3
-4	-6	1
-3	-2	0
-2	0	0
-5	0	0
-6	-4	1
-4	-9	2
-4	-12	2
-5	-18	1
-5	-17	0
-6	-17	-2
-5	-14	-2
-6	-12	-2
-6	-7	0
-5	2	0
-5	3	0
-6	2	-1
-5	-5	-2
-3	-13	-2
-3	-13	0
-5	-12	-1
-5	-10	-1
-5	-7	0
-4	1	-2
-3	8	-3
-3	9	-1
-3	10	0
-3	8	0
-2	2	-1
-2	-12	-2
-3	-26	-3
-5	-37	-4
-7	-41	-5
-7	-23	-4
-6	-9	-3
-6	-8	-3
-6	-6	-4
-6	-2	-4
-5	1	-4
-4	-4	-4
-2	-11	-4
-2	-15	-4
-2	-14	-2
0	-11	-2
-4	-7	0
-7	-7	1
-7	-7	1
-4	-3	0
-4	5	-3
-4	12	-6
-5	6	-6
-8	0	-2
-8	-2	-1
-8	-26	1
-11	-43	0
